EmployeeNumber,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,MaritalStatus,OverTime,BusinessTravel,JobSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,Risk_Score,Risk_Category
238,36,Research & Development,Laboratory Technician,2088,8,Single,false,Travel_Frequently,2,2,7,6,High Risk
1286,28,Research & Development,Laboratory Technician,2154,4,Single,true,Travel_Frequently,3,2,0,5,High Risk
1244,27,Research & Development,Research Scientist,2235,9,Married,true,Travel_Rarely,1,2,6,5,High Risk
1850,27,Research & Development,Laboratory Technician,2379,5,Single,true,Travel_Frequently,4,2,0,5,High Risk
434,27,Research & Development,Research Scientist,2478,4,Single,true,Travel_Rarely,2,2,1,5,High Risk
802,37,Research & Development,Research Scientist,2782,5,Divorced,true,Travel_Rarely,1,2,4,5,High Risk
1297,51,Research & Development,Laboratory Technician,2838,7,Single,false,Travel_Frequently,3,2,7,5,High Risk
1952,26,Research & Development,Laboratory Technician,2867,7,Single,false,Travel_Rarely,1,2,7,5,High Risk
518,37,Research & Development,Manufacturing Director,4197,1,Single,true,Travel_Rarely,2,2,0,5,High Risk
1362,36,Sales,Sales Executive,4639,15,Married,false,Travel_Frequently,1,2,6,5,High Risk
1870,27,Research & Development,Research Scientist,4774,7,Married,false,Travel_Frequently,1,2,7,5,High Risk
803,38,Research & Development,Manufacturing Director,5980,15,Single,true,Travel_Frequently,1,3,4,5,High Risk
145,51,Research & Development,Healthcare Representative,7484,13,Single,false,Travel_Frequently,1,2,12,5,High Risk
124,46,Research & Development,Healthcare Representative,10673,10,Married,true,Travel_Frequently,1,2,9,5,High Risk
1282,51,Sales,Manager,19847,29,Divorced,true,Travel_Frequently,2,2,11,5,High Risk
1131,21,Research & Development,Research Scientist,2070,2,Single,true,Travel_Rarely,2,4,2,4,High Risk
1301,28,Research & Development,Research Scientist,2080,3,Single,false,Travel_Rarely,1,2,1,4,High Risk
1303,25,Research & Development,Research Scientist,2096,2,Single,false,Travel_Rarely,2,2,2,4,High Risk
1937,38,Research & Development,Research Scientist,2133,20,Divorced,true,Travel_Frequently,2,3,0,4,High Risk
88,35,Research & Development,Research Scientist,2194,3,Married,false,Travel_Frequently,1,2,1,4,High Risk
260,27,Research & Development,Research Scientist,2279,7,Single,false,Travel_Rarely,2,2,0,4,High Risk
205,53,Sales,Sales Representative,2306,7,Married,true,Travel_Rarely,3,1,4,4,High Risk
403,37,Research & Development,Research Scientist,2326,4,Married,true,Travel_Frequently,4,2,1,4,High Risk
284,22,Research & Development,Research Scientist,2328,4,Divorced,true,Travel_Rarely,2,2,2,4,High Risk
763,40,Research & Development,Research Scientist,2342,4,Single,true,Travel_Rarely,4,2,2,4,High Risk
1576,48,Research & Development,Research Scientist,2367,8,Married,false,Travel_Rarely,1,2,7,4,High Risk
164,26,Research & Development,Research Scientist,2368,5,Married,false,Travel_Rarely,2,2,4,4,High Risk
2021,21,Sales,Sales Representative,2380,2,Single,true,Travel_Rarely,1,3,1,4,High Risk
79,38,Research & Development,Laboratory Technician,2406,10,Single,false,Travel_Frequently,4,3,9,4,High Risk
1675,38,Research & Development,Laboratory Technician,2440,4,Single,false,Travel_Frequently,2,3,3,4,High Risk
1760,38,Research & Development,Laboratory Technician,2468,6,Married,false,Travel_Frequently,2,2,0,4,High Risk
875,42,Research & Development,Research Scientist,2515,2,Single,true,Travel_Frequently,4,3,2,4,High Risk
856,35,Research & Development,Research Scientist,2559,6,Single,false,Travel_Rarely,1,2,1,4,High Risk
913,44,Research & Development,Research Scientist,2559,8,Married,true,Travel_Rarely,1,3,7,4,High Risk
1258,48,Research & Development,Laboratory Technician,2559,1,Single,false,Travel_Rarely,2,2,0,4,High Risk
571,30,Research & Development,Laboratory Technician,2564,11,Single,false,Non-Travel,4,2,6,4,High Risk
1648,27,Research & Development,Research Scientist,2580,4,Single,false,Travel_Frequently,4,2,1,4,High Risk
1674,49,Research & Development,Laboratory Technician,2587,2,Divorced,true,Travel_Rarely,1,2,2,4,High Risk
351,42,Research & Development,Laboratory Technician,2593,9,Divorced,true,Travel_Rarely,1,3,7,4,High Risk
662,38,Research & Development,Research Scientist,2619,0,Single,false,Travel_Rarely,1,2,0,4,High Risk
1556,36,Sales,Sales Representative,2644,3,Single,true,Travel_Rarely,4,2,1,4,High Risk
493,31,Research & Development,Research Scientist,2657,2,Single,true,Travel_Rarely,2,3,2,4,High Risk
10,59,Research & Development,Laboratory Technician,2670,1,Married,true,Travel_Rarely,1,2,0,4,High Risk
399,31,Sales,Sales Representative,2789,2,Divorced,false,Travel_Frequently,2,2,2,4,High Risk
359,32,Research & Development,Laboratory Technician,2794,5,Married,false,Travel_Frequently,2,1,0,4,High Risk
939,33,Research & Development,Research Scientist,2799,3,Single,true,Travel_Rarely,1,3,0,4,High Risk
2010,32,Research & Development,Laboratory Technician,2837,6,Single,false,Travel_Rarely,2,3,4,4,High Risk
1961,38,Sales,Sales Representative,2858,1,Single,false,Travel_Rarely,1,2,0,4,High Risk
1275,26,Research & Development,Research Scientist,2875,8,Single,true,Travel_Rarely,4,2,2,4,High Risk
1972,38,Human Resources,Human Resources,2991,6,Married,true,Travel_Frequently,2,3,1,4,High Risk
515,37,Research & Development,Laboratory Technician,3034,18,Divorced,false,Travel_Rarely,1,2,12,4,High Risk
233,27,Research & Development,Research Scientist,3058,5,Married,true,Travel_Rarely,2,2,1,4,High Risk
8,32,Research & Development,Laboratory Technician,3068,7,Single,false,Travel_Frequently,4,2,3,4,High Risk
1143,29,Research & Development,Research Scientist,3291,7,Divorced,false,Travel_Frequently,2,2,1,4,High Risk
925,47,Sales,Sales Representative,3294,3,Single,true,Travel_Rarely,4,2,1,4,High Risk
1735,23,Research & Development,Laboratory Technician,3295,3,Single,false,Travel_Rarely,2,1,1,4,High Risk
21,32,Research & Development,Research Scientist,3298,6,Divorced,true,Travel_Rarely,2,2,0,4,High Risk
214,58,Research & Development,Research Scientist,3346,1,Married,true,Travel_Rarely,2,2,0,4,High Risk
1475,44,Research & Development,Research Scientist,3420,5,Single,false,Travel_Rarely,2,2,1,4,High Risk
1314,46,Human Resources,Human Resources,3423,7,Single,false,Travel_Rarely,1,4,5,4,High Risk
854,25,Research & Development,Research Scientist,3424,4,Single,false,Travel_Rarely,1,2,0,4,High Risk
267,37,Research & Development,Research Scientist,3564,8,Married,true,Travel_Rarely,1,2,1,4,High Risk
1241,30,Research & Development,Research Scientist,3579,11,Married,true,Travel_Rarely,2,3,5,4,High Risk
964,40,Research & Development,Research Scientist,3617,1,Divorced,true,Travel_Frequently,2,3,0,4,High Risk
1480,42,Research & Development,Laboratory Technician,3673,12,Single,false,Travel_Frequently,4,3,5,4,High Risk
1257,36,Research & Development,Research Scientist,3692,11,Married,false,Travel_Frequently,2,2,0,4,High Risk
1646,24,Research & Development,Research Scientist,3760,6,Single,true,Travel_Frequently,4,3,1,4,High Risk
2054,29,Research & Development,Research Scientist,3785,5,Single,false,Travel_Rarely,1,1,0,4,High Risk
1890,36,Human Resources,Human Resources,3886,10,Single,false,Travel_Frequently,4,2,0,4,High Risk
1640,37,Research & Development,Research Scientist,3936,8,Married,false,Travel_Rarely,2,1,7,4,High Risk
1140,34,Research & Development,Manufacturing Director,4033,3,Single,false,Travel_Frequently,3,2,0,4,High Risk
1794,37,Human Resources,Human Resources,4071,10,Divorced,false,Travel_Rarely,2,2,4,4,High Risk
1396,32,Sales,Sales Executive,4078,3,Married,true,Travel_Rarely,2,2,1,4,High Risk
1402,43,Research & Development,Research Scientist,4081,20,Single,true,Travel_Rarely,3,1,1,4,High Risk
1062,37,Research & Development,Healthcare Representative,4107,4,Single,false,Travel_Rarely,2,2,0,4,High Risk
1669,29,Sales,Sales Executive,4187,10,Divorced,true,Travel_Rarely,2,2,0,4,High Risk
1350,35,Research & Development,Research Scientist,4249,9,Single,true,Travel_Frequently,3,3,1,4,High Risk
956,26,Sales,Sales Executive,4294,7,Single,false,Travel_Frequently,1,3,0,4,High Risk
1180,40,Research & Development,Research Scientist,4422,1,Married,true,Travel_Frequently,4,1,0,4,High Risk
269,35,Research & Development,Laboratory Technician,4425,6,Single,false,Travel_Frequently,2,3,1,4,High Risk
836,42,Research & Development,Manufacturing Director,4434,9,Married,false,Travel_Rarely,2,2,7,4,High Risk
1980,54,Research & Development,Manufacturing Director,4440,5,Single,true,Travel_Rarely,1,3,1,4,High Risk
1285,34,Research & Development,Laboratory Technician,4444,11,Divorced,false,Travel_Frequently,2,4,5,4,High Risk
397,36,Research & Development,Research Scientist,4485,8,Single,false,Travel_Rarely,2,3,7,4,High Risk
1710,36,Sales,Sales Representative,4502,13,Single,false,Travel_Rarely,4,2,6,4,High Risk
1281,34,Sales,Sales Executive,4538,3,Single,true,Travel_Rarely,1,3,0,4,High Risk
388,29,Sales,Sales Executive,4554,10,Single,false,Travel_Frequently,4,2,0,4,High Risk
446,33,Sales,Sales Executive,4682,7,Single,false,Travel_Frequently,4,2,0,4,High Risk
957,41,Research & Development,Laboratory Technician,4721,18,Single,true,Travel_Rarely,1,3,2,4,High Risk
1586,29,Research & Development,Laboratory Technician,4723,10,Single,true,Travel_Rarely,1,3,1,4,High Risk
390,26,Research & Development,Healthcare Representative,4741,5,Married,true,Travel_Frequently,1,3,3,4,High Risk
846,28,Sales,Sales Executive,4779,8,Married,true,Travel_Rarely,2,3,7,4,High Risk
450,54,Research & Development,Research Scientist,4869,4,Single,false,Travel_Frequently,3,2,0,4,High Risk
1507,28,Sales,Sales Executive,4898,4,Single,false,Travel_Frequently,1,3,1,4,High Risk
1704,35,Research & Development,Research Scientist,4930,5,Single,true,Travel_Frequently,4,4,1,4,High Risk
1745,30,Research & Development,Research Scientist,4968,9,Single,false,Travel_Frequently,1,3,0,4,High Risk
1235,32,Research & Development,Research Scientist,4998,8,Single,true,Travel_Frequently,3,3,0,4,High Risk
1184,34,Research & Development,Healthcare Representative,5343,13,Single,false,Travel_Frequently,1,3,4,4,High Risk
1294,36,Research & Development,Manufacturing Director,5410,16,Single,true,Travel_Rarely,2,3,5,4,High Risk
1034,55,Research & Development,Healthcare Representative,6385,8,Married,true,Travel_Frequently,2,3,6,4,High Risk
462,31,Research & Development,Manufacturing Director,7143,11,Single,true,Travel_Rarely,4,2,4,4,High Risk
605,42,Research & Development,Manufacturing Director,7406,10,Married,true,Travel_Rarely,1,2,5,4,High Risk
81,59,Sales,Sales Executive,7637,21,Single,false,Travel_Rarely,1,2,7,4,High Risk
1547,42,Research & Development,Healthcare Representative,10124,20,Married,true,Travel_Frequently,4,1,13,4,High Risk
1496,44,Research & Development,Manufacturing Director,10209,2,Single,true,Travel_Frequently,3,2,2,4,High Risk
1043,39,Research & Development,Manufacturing Director,10880,21,Single,true,Travel_Frequently,1,3,2,4,High Risk
532,56,Sales,Sales Executive,13212,7,Married,false,Travel_Frequently,1,2,7,4,High Risk
73,33,Research & Development,Research Director,13458,15,Single,true,Travel_Frequently,4,3,8,4,High Risk
119,40,Research & Development,Healthcare Representative,13503,22,Married,false,Travel_Frequently,2,2,11,4,High Risk
746,47,Sales,Sales Executive,13770,22,Divorced,true,Travel_Frequently,3,2,11,4,High Risk
1539,50,Research & Development,Research Director,14411,32,Single,true,Travel_Frequently,4,3,13,4,High Risk
1472,53,Research & Development,Research Director,16598,9,Single,false,Travel_Rarely,2,2,8,4,High Risk
363,46,Sales,Manager,16872,7,Married,true,Travel_Rarely,2,2,7,4,High Risk
1485,34,Research & Development,Research Director,17007,14,Divorced,false,Travel_Frequently,1,2,6,4,High Risk
199,41,Research & Development,Manager,17181,7,Divorced,false,Travel_Frequently,1,2,7,4,High Risk
141,50,Research & Development,Research Director,18172,8,Married,true,Travel_Frequently,2,2,0,4,High Risk
396,49,Research & Development,Research Director,18665,3,Single,true,Travel_Frequently,1,3,1,4,High Risk
374,55,Research & Development,Manager,19045,36,Single,true,Travel_Rarely,1,3,4,4,High Risk
1740,40,Sales,Manager,19833,21,Single,false,Travel_Rarely,2,2,12,4,High Risk
201,19,Research & Development,Laboratory Technician,1483,1,Single,false,Travel_Rarely,2,3,0,3,Medium Risk
1839,18,Research & Development,Research Scientist,1514,0,Single,false,Non-Travel,3,1,0,3,Medium Risk
556,38,Research & Development,Laboratory Technician,1702,1,Married,true,Travel_Frequently,4,3,0,3,Medium Risk
1659,36,Research & Development,Laboratory Technician,2013,4,Single,false,Travel_Rarely,2,3,1,3,Medium Risk
218,27,Research & Development,Research Scientist,2024,2,Divorced,false,Non-Travel,2,1,2,3,Medium Risk
1883,29,Research & Development,Laboratory Technician,2062,3,Single,false,Travel_Rarely,1,3,1,3,Medium Risk
1461,31,Human Resources,Human Resources,2109,3,Single,false,Travel_Rarely,2,3,0,3,Medium Risk
391,37,Research & Development,Research Scientist,2115,17,Single,false,Travel_Rarely,4,3,5,3,Medium Risk
1448,41,Research & Development,Research Scientist,2127,4,Married,true,Travel_Rarely,3,2,0,3,Medium Risk
1609,30,Research & Development,Research Scientist,2141,6,Married,false,Travel_Rarely,2,2,1,3,Medium Risk
1947,28,Research & Development,Research Scientist,2144,5,Single,false,Non-Travel,3,2,1,3,Medium Risk
286,36,Research & Development,Laboratory Technician,2153,8,Single,false,Travel_Frequently,4,3,1,3,Medium Risk
1202,29,Research & Development,Research Scientist,2168,5,Married,true,Travel_Rarely,4,2,1,3,Medium Risk
362,32,Research & Development,Laboratory Technician,2176,6,Single,false,Travel_Rarely,1,3,0,3,Medium Risk
1049,45,Human Resources,Human Resources,2177,6,Single,false,Travel_Rarely,2,3,0,3,Medium Risk
1931,27,Research & Development,Research Scientist,2226,5,Married,false,Travel_Rarely,2,2,1,3,Medium Risk
